,Review_text,Nouns
5747,Very good mobile with average batter back-up. I am not happy with the battery back-up. My earlier mobile MI Max2 had a excellent battery back-up.,"mobile,battery,back,batter"
5748,"People who are looking for a Mobile in low budget with high
 Features I would suggest you this one. Dash charge makes your use very simple in daily life, very smooth performance and speed indeed . Battery quality and picture quality is really good.","mobile,performance,spee,quality,picture,charge,one,budget,battery,person,dash,use,life,feature"
5749,The best phone ever under 35k. Worth every penny. Loved it!!,"penny,phone"
5750,"The phone is amazing, mic drop.","drop,phone"
5751,Good,
5752,Excellent product,product
5753,Very Nice,
5754,I am not happy with this product,product
5755,This time sale troubled me,"sale,time"
5756,Good,
5757,Good device I like it but u should be wait for 6t,device
5758,Good,
5759,Fully satisfied.Its an establish brand even if it's expensive does matter when it comes to camera quality or Processor performance.,"performance,quality,processor,camera,brand"
5760,Much better then other mobile,mobile
5761,My mobile battery is getting down so fastly and when iam taking photos using flash my mobile getting more heat can u help how to solve this problem,"mobile,heat,battery,problem,photo"
5762,Very good,
5763,Mobile battery performance was very bad. the phone was hitting while in charging. Amazon services very slow at replacement. I will never again buy from Amazon.,"performance,phone,battery,amazon,service,replacement"
5764,Amazing phone worth the price,"price,phone,worth"
5765,Good experience,experience
5766,Super,
5767,Battery was the only thing that doesn't stand a whole day,"the,battery,day"
5768,"nice phone,,  but I want warranty card on my mail ID pls send
vijeyata.joshi@rediffmail.com","warranty,card,phone,mail"
5769,"After so many amazing review for this phone , it wouldn’t justify if I am not posting my review for this phone . 😊 awesome level of experience you get once you start using this phone.what one can ask for in a phone  ,this phone has everything in it. Truly a masterpiece with class in itself.","everythe,phone,cla,experience,masterpiece,review,level"
5770,As one plus denotes its camera quality. One plus 6 has got the best camera and picture quality,"plu,picture,camera,quality"
5771,Well built,
5772,"All of my prior phones were iPhones with the exception of a Samsung that was used as a backup. I was a bit hesitant to make the leap to Andriod. Having done it, I do like this phone after I have used it for 3 weeks. The interface is clean and functional. The screen is nice and bright. It has a very snappy response. The amount of storage is perfect for my use. The camera is excellent. The call quality is pretty good. I have had no issues with connecting to bluetooth devices.
I cant speak about gaming as I dont play any.","quality,issue,backup,exception,storage,week,response,call,phone,amount,leap,use,camera,iphone,devic,game,samsung,interface,screen,bite,andriod"
5773,"Good deal, Purchased @ 28000. Good performance. But battery life average and speaker output worst. Overall good package.","performance,package,battery,deal,output,speaker,life"
5774,"Amazing phone at this price...so fast,never lags in any high end games like pubg","end,phone,pubg,price,game"
5775,Paisa vasul phone,"vasul,paisa,phone"
5776,Highly Recommended !!,
5777,Great product when compared to iPhone x,"iphone,product"
5778,Ok,
5779,The phone is good but I didn't get any bill with this product,"phone,bill,product"
5780,"Best Android phone you can get at this price ...
Go for it 👌👌👌👌","price,phone"
5781,Amazing product.,product
5782,Love it,
5783,Battery 👍,battery
5784,"Hi Amazon,
Actually I ordered this phone on 14oct and received on 19 ..I have used this phone only one day....but I feel unsatisfied with the battery life..it drains very fastly.. just a normal usage of fb for 30 min's 15% is down.can I know y it is like that...","phone,battery,day,min,life,usage"
5785,Awesome phone,phone
5786,Overall okay,
5787,Battery could have been better. Camera is amazing... Overall speed of the phone is great...  Worth buying if you are looking for a premium smartphone.,"spee,smartphone,phone,battery,camera"
5788,"Picture Quality is Good about not the best, I believe Selfie Camera could have been better ..
Pro Camera Mode , still lacks with feature ...
Sound is good, Oneplus6T has stereo speakers it seems.
Multiple Bluetooth Speaker connectivity is not there, OnePlus did not have update yet..!
Battery life is average.
Speed is wonderful, Snapdragon does it part.
Oneplus 6 is a really nice phone,I love it..!
Happy with the purchase..!","spee,purchase,oneplu,quality,phone,mode,picture,stereo,battery,snapdragon,connectivity,camera,sound,update,speaker,life,feature"
5789,Loved it!,
5790,"Fully satisfied, no complaint at all. Recommending to everyone, at 35k you can't get any better than this.","everyone,complaint"
5791,Not able to upload the video,video
5792,"It's a worst product. Please replace it with  LG v30+
Shame Amazon. Please make this replacement as soon as possible.","shame,amazon,replacement,product"
5793,Awesome,
5794,Good,
5795,Nice product but to costly,product
5796,Picture quality,"picture,quality"
5797,"Best phone. Awesome picture quality. One plus can improve battery capacity, hope for that! Look wise awesome, I have mirror black 128 gb variant, speed is awesome.","spee,quality,phone,picture,battery,mirror,variant,capacity"
5798,"Great phone. Just go got it, you will be so happy with the quality and finish for 1/3 the price of iPhone.","quality,phone,price,iphone,finish"
5799,Awesome,
5800,Mighty pleased after buying such a lovely phone from one plus. Features are gr8 and specifications even better. Only battery drains too quickly while playing games like pubg. Other than that good and super quick phones,"drain,phone,plu,pubg,battery,game,specification,feature"
5801,No words to express,word
5802,Everything,everythe
5803,Flagship...,flagship
5804,It's magical. You will love every aspect of the phone let it be the picture quality o r the battery life on the screen resolution everything is perfect,"aspect,everythe,resolution,quality,phone,picture,battery,life,screen"
5805,Value for money,"value,money"
5806,Value for money,"value,money"
5807,Everything is superb.... battery needs little more power addition,"everythe,battery,power,addition"
5808,Amazing battery life,"battery,life"
5809,It's best I got during Amazon sale... Saved almost 6k,"sale,amazon"
5810,nice phone,phone
5811,"Love this mobile, everything in this mobile is best,price is also ok","mobile,everythe,price"
5812,Go bindly for it.....no need of 6t becz there are no major improvements,"improvement,becz,nee"
5813,Happy with the overall performance,performance
5814,Super all,
5815,It's really awesome,
5816,Super phone.  I recommend,phone
5817,Excellent,
5818,Excellent One plus6 ...keep it up. All 4 family members having One Plus mobiles.,"mobile,family,member"
5819,Value for money,"value,money"
5820,Over all good canera could be better,canera
5821,Battery life is not that good,"battery,life"
5822,"Bought this phone from store 2 days ago got it for 35k
So if you want to buy this phone, buy it from store.
This phone is awesome in two days of use I'm in love with oxygen os. It's simple yet smart. Got Android P update too!
U don't have to care about it's performance. It's a beast. There are no apps on play store that can hang this machine!
The camera quality is not that great campared to other high end devices but it's not bad either. If you are coming from phone under 20-25k then you will love this camera.
It's a stock Android (not Android one, that's different!) + Got 1080p display + SD845 processor + super fast fast charging.... So you don't have to worry about it's battery.
If you have budget for this, then go ahead and buy it!
One plus 6T has just minor improvements over this one, if you don't want to spent 4-5k then buy this, you will never regret it!","android,quality,budget,oxygen,improvement,performance,phone,charge,one,use,camera,update,devic,machine,stock,app,beast,battery,store,display,end,love,play,processor,day"
5823,The performance is flawless.,performance
5824,Speed of the phone is just mindblowing. Sound quality is average but not bad. Display is outstanding at this price range.,"spee,quality,phone,price,range,display,sound"
5825,"Picture quality: superb
Sound quality: superb
Battery life: easily getting 2 days life without charging again.
I was MI note 4 user and moved to oneplus 6 because of network problem faced in MI phone. I was using different MI phones for 4 years but I am seeing there is a big quality concern over poor phone call and build quality. My friend is using one plus 3t for 2 years and his son is throwing his like a stone but I did not find any damage. I was impressed with oneplus build quality.","oneplu,call,quality,phone,stone,picture,network,year,battery,day,user,build,friend,concern,sound,problem,son,note,damage,life"
5826,Nothing,nothe
5827,All good,
5828,It's a beast,beast
5829,"My Phone getting hang like hell, Seems I wasted 40K
And now there is no support from Oneplus for Replacement and refund","oneplu,phone,support,refund,hell,hang,replacement"
5830,Camera is not upto the mark,"camera,mark"
5831,Super phone.awsome xperiance.camera clarity awsome.,clarity
5832,I like it but delivery problem,"delivery,problem"
5833,Value for money,"value,money"
5834,Okay okay,
5835,Camera is the best,camera
5836,"Battery life is better on oreo, wait till they roll out the next update and then update to pie. Fast charge is crazy, 20 mins charge and I'm done for the day at optimal use. I only get SSS in pubg now. The screen brightness is too good, the smooth browsing, gestures, camera (compared with iPhone X) everything 10/10. Can't imagine a better phone","everythe,brightne,browse,phone,battery,oreo,charge,pubg,day,gesture,life,min,use,camera,update,iphone,pie,screen"
5837,Sound is ok but Battery need to be more powerful. Hope 6T Fill the requirements.,"battery,fill,requirement,sound"
5838,Build quality and OS is excellent,quality
5839,Very good phone at this price. Camera quality is amazing. Overall Performance is better than any other phone in segment.,"segment,performance,quality,phone,price,camera"
5840,Have been using the device for more than 4 months. No doubt it's the best Android phone available today.,"phone,today,month,doubt,device"
5841,"Everything is 10 on 10.(battery screen performance)
But camera is a bit disappointment considering MiA2 in 15K
(Camera 8/10.)","bite,everythe,performance,camera,disappointment,screen"
5842,Price dropped around 5k 😵😵,price
5843,Awesome..,
5844,One plus is amazing,
5845,Superb camera....,camera
5846,Good product,product
5847,i love this product and its quality and battery life is amazing ..shandar phone,"quality,phone,battery,life,product"
5848,Picture quality is amazing and sound quality is good  and battery life is great,"quality,picture,battery,sound,life"
5849,"Best phone money can ever buy.
Pros:
-> Speed - Faster than Buggati Veron.
-> Battery Life - Gives more than 4500mAH phones.
-> Storage - C'on 64/128 GB .
-> Camera - One of the Best Pics I have seen so far after iPhone X.
Simply Jack of all trades.
Cons-
-> People will feel jealous.
-> You'll always be on thief's radar.
Enjoy the Phone Sir/Ma'am.
I'm so impressed that, I'm ready to become the brand ambassador for this phone.","spee,brand,pro,phone,pic,veron,battery,jack,person,ambassador,trade,camera,radar,thief,sir,iphone,storage,money,life"
5850,Perfect battery life for gaming,"game,life,battery"
5851,Nice mobile,mobile
5852,Great phone,phone
5853,Best smart phone. Thanks Amazon..,"thank,phone"
5854,Picture quality is good,"picture,quality"
5855,Fantastic product,product
5856,"Performance and speed - 5/5
Display - 5/5
Looks - 5/5
RAM management - 5/5
UI - 5/5
Battery life - 5/5
Picture quality - 4/5
Sound quality - 3/5
Location and size of finger print scanner is not comfortable","spee,performance,quality,location,picture,size,battery,look,print,finger,ram,display,sound,management,scanner,life"
5857,The best flagship phone with good picture quality,"picture,flagship,quality,phone"
5858,Just perfect in every aspect.,aspect
5859,Picture quality,"picture,quality"
5860,I lvvv this phone,phone
5861,Awesome,
5862,Best I could have ever.I have been using 1 plus 5t and now this both are super.but now I m little jealous as new 6t would be coming,
5863,Best very fine,
5864,The phone is excellent but m amazed to see for the first time..it is supplied without earphones..such an expensive phone without headphones..,"headphone,phone,earphon,time"
5865,Good,
5866,Very good,
5867,Just what my mother needed... got everything required it’s a healthy package,"everythe,mother,package"
5868,"Best phone under 50,000",phone
5869,OP6 is simply the best...!!!,
5870,Nice product,product
5871,Ultimate,
5872,Good but cost you more,
5873,"Very nice product, and also delivery before the time","delivery,product,time"
5874,"Best phone for 2-3 Yrs use
Best quality
Don't waste on budget phone
Because u got change every year","quality,phone,change,year,budget,use"
5875,Phone is nice.... one+ rocks They really make class phones..... completely satisfied......,"cla,phone,rock"
5876,Processor,processor
5877,Best,
5878,Excellent,
5879,Amazing amazing amazing,
5880,Best phone used till now,phone
5881,Number one quality product,"number,quality,product"
5882,Good camera,camera
5883,Would have been awesome if it had stereo speakers,speaker
5884,Iphone features in an android device !,"iphone,device"
5885,Good Mobile,mobile
5886,Finger print access is not working properly... What to do....,"acce,print,finger"
5887,That is best,
5888,Waiting for next feature's,feature
5889,OnePlus is the great and expensive but just a small request to OnePlus stop behaving cheap by not providing ears phone..,"request,oneplu,ear,phone"
5890,It's amazing,
5891,Most wanted on the planet,planet
5892,its an great phone and also good delivery by amazon,"delivery,phone,amazon"
5893,Good as expected..,
5894,I bought this At RS 28k with additional (1k Amazon cash back) in great Indian sale . The mobile perform really well. Camera is best in class,"perform,cash,cla,back,sale,camera,amazon"
5895,Nice mobile,mobile
5896,Very nice,
5897,Awesome phone.the speed you need.... really the speed I need.battery life very good... excellent picture quality.cool oxygen os.,"spee,picture,oxygen,life"
5898,Best mobile,
5899,OP6 means Awesomeness 😎,awesomene
5900,"Battery just how you use but pie update after battery life not good some bugs needed to fix it,needed camera  imrovement also, sound not as much may be stereo speakar  and dolby sound campare to other smartphones","speakar,smartphone,bug,battery,imrovement,camera,sound,update,campare,pie,life"
5901,"Like was Battery
Dis like was Key Board
Not Included FM
Ear Phones pin was in below","phone,pin,ear,battery,board"
5902,"Overheating approx of more than 40 degree while play of tap challange on unlock.oneplus.com challange.
Challange is tap 60000 time and win one plus 6T.
It got self exposed of old version.","play,degree,tap,challange,time,version,self"
5903,"It's the best Android phone I have used till now with great picture quality...,.","picture,quality,phone"
5904,Good,
5905,Overall ok.. Not that much like what i heard.,
5906,I like it,
5907,Overall product,product
5908,5*,
5909,Best,
5910,Picture quality is amazing,"picture,quality"
5911,Just awesome mobile phone.,phone
5912,"Worst battery
Pls don't waste ur money","battery,money"
5913,Good,
5914,Total perfect,
5915,I was expecting better camera and sound quality from this device but when I hold this one in my hand I realized it's not up that level. Sound quality is not Dolby and the speaker position is not friendly i.e. when you play game or watching movies it's blocking the speaker location. Camera quality is also not good in term of zooming.,"quality,location,hand,one,position,speaker,camera,term,sound,movie,game,zoom,device,level"
5916,"Smooth, faster, amazing",
5917,Every thing is excellent,the
5918,"oneplus 6
only one word - U NAILED IT!!
maan what a phone..
i jumped from iphone 6
so this is the flagship killer i guess they say n i tell u they r damn true!!
damn those looks !!
display is absolutely stunning..u ll jst fall for superamoled clarity !!
battery life coupled with that beast dash charge is unbeatable
damn that snapdragon 845 !!
didnt test the camera..ll update soon..but saw in videos n it beats iphone x and other flagships (not pixel though)
ppl compain abt the sound quality..there ws jst this thing stopping me from buyin this beautiful beast..but i think i made a right choice buying this..they say iphones hav better quality..but u wont regret by the quality it gives..sound quality is superb in headphones (both bluetooth n audio jack) n even the speakers are descent and they are very clear..ppl say abt distortion..they are wrong..i fell in love with this beauty..so smooth it blazez thru evrything..pubg in top graphics what n experience!!!
i ll update after a couple of months usage..for now i ll giv it 10/10 !!
PS- the screen guard that it gives with phone is so durable its been almost 2 months n its working fine..respect!!","bluetooth,descent,killer,quality,blazez,flagship,ppl,pubg,jst,fine,hav,clarity,distortion,phone,beauty,charge,jack,experience,look,month,the,camera,sound,iphone,graphic,couple,headphone,beast,damn,battery,video,display,word,choice,speaker,guard,dash,life,usage,screen,love,abt,snapdragon,respect,compain"
5919,"I'm loving it, best phone ever had.
Awesome feel. Fastest processor, even though company doesn't gives ip certification it has the ability to survive in water.
Go for it.","water,phone,company,processor,certification,ability"
5920,Tremendous,
