Review Text,Review Rating
Overall superb phone....more expectations on battery part...camera is just too good..,5
You should have one +,5
Good,5
3rd one plus phone for all.  great performance as always :),4
One plus... Pulling strong wit its amazing Specifications.,5
Yet another masterpiece from one plus. Been using from 6 months now. Handled it very rough. Installed many apps and games. Using it heavily and havent noticed little lag or any problem so ever. No lag. Does justice to the caption. Speed you need. Had issues with amazon delivery. My first order was lost in transit. Then reordered from prime now with 2 hour delivery. Now glad we have offline retail stores. Need not to rely on Amazon when they are irresponsible and lose the 30k item in transit.,5
We r happy but we have not received the Cashback into our Citi bank credit card.,4
"Superb look, awesome speed and value",5
Nic,5
Very happy with this product,4
Camera is Best,5
overall  okay,5
"No SMS Forwarding, No In bhoot Apps, Not able to Opn the Links in whatsapp or Message apps. Horrible Customer Care Service which is not vale to resolver any issues or answer queries. Automatic Data Loss. Bought one plus 6 64gb and it is not supporting  word, excel or pdf apps.  Not able to clear the ram automatically for all apps. They are asking to go to every app in android system n clear everything individually. Useless Phone. No usability for all above mentioned features",1
Awesome mobile,5
Expensive but overall experience is really awesome...! Worthy product,5
Very less Battery life.,1
Recommended to all who are looking for a phone in this price range,5
Battery life needs to be improved,4
"I'll be completely honest, the product is good but not something that blew me off my feet. Face recognition and finger print ID are quite fast but not perfect. Camera is good but videos below full HD seem to be of lower quality than they should be. Slow me video is patchy and bokeh is below average. As a new device battery life is average. I used to have a Nexus 5 and despite the ""huge"" upgrade I don't see a huge performance boost. This device even crashed several times while playing simple games. Sound quality however is one of the best any loud speaker, even if not the loudest available, is still good.",3
Super,5
"A great phone , a great price. More than happy. Should come with a better scratch  guard cover, than the one given free with it.",5
Everything is good .,5
Amazing phone at amazing price. Battery is amazing. Just love this phone. Upgraded from one plus 5. Go for it,5
"Very nice mobile with awesome features.
Nice camera, big screen, superb operating system (Oxygen OS) and many more good features.
The product is Value for Money.",5
Video quality should improve,5
Just one word Ausome phone!!!,5
Good,5
Red looks awsum,5
I like it,5
"What to review, eveything about this phone is just awesome. Best screen, best camera, best performance and mostly its Color OS. Far better than 6T because having Led notification, headphone jack and lesser price, ofcourse better fingerprint too.",5
Best in class.,4
Quality of camera and phone is osm,5
Best techno gadget,5
Value for money,5
"Used both OnePlus 6 and 6T, and no doubt OnePlus 6 still seems like a champion in all a features",5
"Tag line need for speed is absloutely perfect for this phone, front camera is well but flash light is not available.....",4
Yes i disapaointant  in this mobile totaly wrost my mony. Hang this mobile. I suggest eveey men not buy this phone.,1
Worth money,5
So smooth,5
Any comments would be an insult for this kind a phone...,5
Happy & fulfilled all the expectations.. :),4
Just wow,5
It's a beast,5
Almost everything is just fine.. it has got only one problem i.e. when u r using dual sim it has got connectivity issue.. its dual volte doesn't work..,4
Every thing is very good in this phone I am using it from last five months,5
Gyf,4
Good,5
Very good,5
picture quality is superb sound quality is very good....,5
"Used it for 6 months and still not over it.
Excellent look & Feel. Super sound quality and awesome clicks.",4
Awesome,4
"I always wanted to buy oneplus, right from the launch of its first mobile. Finally managed to buy 1+ 6. And it's worth waiting. Best part of it is camera. Just amazing. I hardly carry my DSLR now while going out.",5
Well good,5
Amazing device,5
"Speed beast
Excellent gaming experience
Battery life is not as much we require
Best camera and best display...
Sexiest display",5
Speed phone,5
Very good product go head,4
Ultimate phone,5
Pictures are simply awesome.u don't need to buy a separate 📷 until u are a professional photographer,5
Love this❤️,5
Good Product,5
Superb product,5
Excellent work done by oneplus.,5
Just loving it,5
"is there any products you deliver is good, or it's your trademark to deliver the worst quality product.???",1
Just go for it,5
"Battery life is poor. Very dissatisfied customer. One plus 3t was good product. But, there quality have degraded in this product. Only price structure has increased. Go for MI products only. They are best.",1
It's great,4
Awesome phone,5
Fine,5
Excellent mobile,5
Apart from camera everything is super,5
Best in class accept battery backup,5
It's a nice product..,5
Need wireless charging,5
I'm using oneplus 6 8gb ram & 128gb rom. it wonderful. worth for the money. amezing,5
Everything is perfect but phone is hearing if use it for long time continiously😑,3
One+ u rock. & The service from AMAZON is CHERRY ON TOP. 💯% marks to the product & the service also. Go guys keep buying ONE+6.,5
Awesome,5
4k video is awsome...,5
Good,5
It is a very good smart phone . I like the most is the fast charging feature of this mobile phone . Its picture quality is excellent . Sound quality is also very good . Overall it is the best smart phone .,5
Sound,5
"Awesome phone
 I used all top brands. Durability and reliability of OnePlus is unbeatable
Very good battery back up. I realized battery capacity is not only the factor but the software optimization. Thanks to oxygen OS.Camera needs to improve especially front facing camera at low.light.
Forgot to Say about dash charging... Amazing experience",5
Four stars all around and 1 star for the brand loyalty.,5
Didn't expect the quality to be this good.. it's been 7months I still feel like it's new. Worth every penny.,4
Very good,5
Value for money,5
All good,4
"Just speed speed speed..can't complain here
Power is ok
Stock like rom is flawless and quite powerful
Pubg and heavy games are nice to work but they take so much power that no phone can. Last full day
Power management is good too
It was gift so can't tell much about camera quality with compare to flagships..",4
Good,5
Good phone,5
"After 4 months of use slight down in battery performance
Camera is good but not upto the mark as they said in YouTube channels
Over heating can be observed some times",4
"I shifted from iphone X to oneplus 6, & yes definitely this is really good performing device with great specs. i am already in love with this phone. awesome built quality & i really love its time to time updates. I also use Huawei Mate 10 Pro which is having higher specs and great phone, but i wanted other phone with my budget against shifting from iphone to android & i opted for oneplus 6, but now my view for this phone is not just budget but a class apart against iphones.",5
really like using it. Amazon delivery was super good.,5
Amazing experience with this product.... Amazing quality..amazing feature.  And filled with lots of speed and fun.,5
Just amazing ❤️,5
perfect phone for me at this range,5
Best,5
Bettery life not longer,5
"This is what I got in the box, a used back cover. Which is very bad. I didn't expect from it.",4
Everything is best and camera is the best than other brands,5
"Got it in Rs. 26k and loved it, nice phone to play PUBG on high graphics",5
"NOT THAT GOOD,GOOD FOR THOSE WHO ARE BRAND CONSCIOUS",3
Thanks,5
Great,5
Battery life should be better,4
Fantastic,5
"Sounds quality is nice👌.....
And camera quality is awesome",5
Mobile is very good go for it  I would like to get my bill again as I lost my bill ...plz help me .,5
Nice,5
Nice phone,5
Good,5
"Camera is Awesome
Baterry life is Good
Performance is Awesome
The Con is that we are getting many bugs in the New Updates released even though the bugs are corrected in the upcoming patches it is taking more time",4
Always best,5
Super cool,5
Speaker problem. Sometimes it will not provide sound from videos. Have to restart again. Pictures are getting blurred while taking it from WhatsApp.,4
Awsm phone ever...,5
Good,5
Superb,5
After using it for 6 months I started missing my Redmi note 3 my old phone. Redmi note 3 even after 3 years has better battery life than new one plus6.,3
Awesome set,5
Best product ever,5
Loved it,5
No,5
Worth buying product,4
Battery Life very bad,4
Excellent performance ... Much satisfied will all the features ... Quick updates ...,5
Awesome phone at awesome price.,5
Once you use this phone You will never think about any other phone to buy...,5
Mirror back glass broken on its own in approx 5 months inside the cover.. also without falling down.. camera only selfie mode is good. Back camera is not that good.. processor is fine and compute is fine but how can such big company have such a big design flaw and back glass is like breaking for lot of people.,1
Awesome phone.,5
"What a picture quality,, Awesome! Overall the phone is in budget having all the features.",5
"Excellent premium mobile phone, picture quality excellent, no tension for charging.",5
Worth,4
Good product.,5
Great phone in under 30k...dash charging was osome...,5
Nice phone and nice performance,4
Since I bought during the sale it cost  me around 27000/- and i think its worth it. On time delivery so i guess this all about the product and delivery.,5
"Pros :
amazing 6.3inch super amoled display(stopped watching movies in laptop)😍
Sd845 (became a pubg pro)😎
Dash charging (no worries about battery capacity)😏
Oxygen OS (pure android experience)😌
Rear camera(u will get a disguise of a professional cameraman status)😅
Builtquality (next to samsung n apple)💪
Cons
No wireless charging (doesnt matter)
No Quad hd display (previously i was a samsung s7 edge user)
Ugly notch (apple made tats y hate it)
The best smartphone of 2018 is definitely ONEPLUS6",5
Good,5
Super,5
Great phone,5
superb,5
The king it is...,5
Very nice phone,5
Very good product,5
Nice photoes click,5
"Overall it is a good phone, I am new to Oneplus and felt very much satisfied. Camera is awesome and I never felt any lag in any functionality or app. Only problem is battery, if i use camera for clicking pictures it gets discharge in 4-5 hrs. I am not even talking about videos. Even at normal usases battery will last for hardly 7-8 hrs.",4
Good product,5
"It has everything, what you think in your mind about smartphone. Go for it,,,, lovelyyyyy mobile 📱, no heating problem.",5
Battery poor quality and camera is poor quality also cost of rs is highly  approximately 25000 to 30000 /8 GB ram 120 gb internal,4
Screen resolution and camera quality is very impressive...sound quality is also satisfactory but not very loud and battery life is also good ..it normally lasts for one day...and in terms of speed ....there is no competition.,5
"Pretty good phone! Also has headphone jack, which is not present 6T onwards. Hence, I would say, OnePlus6 is the last good phone of OnePlus.",5
"Product is amazing
Worst delivery from Amazon",5
Great product.,5
Battery life rating 5/10,3
best product,5
"Best for display quality,sound and better performance",5
"My review
Working fine with games best in game mode.
Better customize OS not super.
Camera is good.
other function work with excellent.
Pros.
Original Screen Guard not available.
Call recorded audio playing in music app ( Such ridicules).
over weight.",3
"Which one is the best amongst the three I.e, 6gb ram with 128 internal memory/8gb ram with 128 internal memory/8 GB RAM with 256 internal memory.....???",5
Nice product,5
Simply best phone... Love it,5
Battery of my phone discharge in 10hours only,2
Im using this phone past from 3months body and display damaged no warranty also it's to sensitive back cover of the phone looks like glass money waste service cost also expensive really wasted my money,2
I am facing problem with microphone. The other talking with me is hearing echo sounds. That's irritating.,3
"Been using it for 3 months now. Has given me great battery life. I am not much of a gamer, but even with decent amount of video viewing it gives me an average of 14-16 hours of battery.
Camera is great. Fast face unlock and smooth transition between different apps.",5
good & Worth,5
"dont buy this phone ...... today(21/01/19) while charging the mobile i saw small flame from charging point of phone. Instantly i removed the charger and saw that charging cable & mobile charge point got burnt. it may also have resulted bursting if i was not present. purchased from amazon on 12/09/18.
most interesting is that customer care of one plus six not entertaining me.",1
Suer,5
Like,5
Good product,5
Worth it,5
Excellent,4
Awesome,5
Nice,5
"Love this phone. ..  One plus create great product. Good processing, Ram and screen. Baught 8-128 modal of One plus 6 at Amazon sale.",5
Value for money.,5
Very wall,5
"There is no likes, or dis-likes for this one plus , there is only love b/w us ... 😍😍🥰🥰🥰🥰",5
Really good,5
Its good,4
Awasome,5
Sexy phone from aspects.,5
Nice product,5
Great device,5
Worth the money. In every aspect its the best.,5
Good Phone,4
Nothing to dislike,5
Just great.. value for money..super sonic,4
"Its really One of the best Mobile available in market and really worth of money.
Gives stylish look and also provide decent battery backup..",4
"Very good phone. mainly because, no hanging and no heating problem. Speed is excellent. Camera quality not too good, but fine",5
Best Phone at present,5
Good mobile I don't think battery can lost longer so much for crazy users,5
Superb phone  but price alot,4
Some applications hangs,4
Camera quality in low light is below average.,4
The phone has more than enough RAM. It charges in 30 minutes flat (0 to 100 percent). The camera is fantastic and it has a great deal of storage available. I got it at a fantastic price on Amazon.,5
It's a good smartphone. Battery life is not very good.,5
Lovely phone,5
The best I used till now awesome😍 camera sound and battery back up not even a hang till now used for 6 months best of the best,5
"This is a great phone, packed with latest processor and gpu. It is very light weight, slim and sturdy. Camera quality is really nice, battery life is also good and sound quality is pretty damn great.",4
Battery life,5
Awsome Phone,5
The oneplus fam is great with everything!,5
Awesome product. Superb Camery quality. Can be easily compared with iphone.,5
Wow the only word..,5
"After about 6 months of usage, I am finally ready to share my experience of using this device. Build quality is totally amazing. Camera is good and the processor (Snapdragon 845) is the best processor available in the market today. As always, Dash Charge technology of OnePlus is supremely fast and can provide a day's worth of charge in just 30 minutes (literally). Battery backup is awesome even if you are a heavy user and does not disappoint you at any point in time. Display quality is also excellent and does it's job perfectly.
In the end, everything about this phone is premium and I am very much satisfied with my purchase.",5
just one drawback is oneplus 6t came too soon,5
After some time camera started malfunctioning.,4
"Amazing speed , super battery backup, camera superb, totally best of the best",5
Awesome,5
"It's been 3 months since I'm using this... Was about to buy an iPhone, but my better half convinced me otherwise... Love it .. the phone is just amazing... It's got 8gb ram, really fast... It's efficient...I don't regret paying 38k...  Haven't found a single complaint on this...",5
"dont know what happened but the camera getting blurry images completely disappointed, & phone calls are pretty bad, mobile internet is very slow. may be i have received a defective phone.",1
Good product,5
Good,5
Good,4
Happy,5
It's great but the price is high,2
Video games night camera good,5
"Picture quality good,sound ok but battery life worst..",5
"I bought it at 27k and its a best deal. No complaint. Totally satisfied.
Battery drainage is quick but compansated by dash charge.",5
Nice phone.,5
One of the best phone i ever seen❤️,5
"Everything is good except face recognition.
It gets unlocked against anyone's face.",5
"One of the best phone I have used till date. Happy with the deal, got it during Great Indian sale.",5
Battery drains very fast while camera is operated or vdo’s are played,5
Good,5
Best smartphone ever,5
One of the most stable hardware heavy phones I've ever used.,5
Nice one,4
My phone,5
Quality quality quality.. value for money for sure,5
Great phone with awesome rear camera .. but disappointed with it's front camera focusing and battery life ! :/,4
Best phone i have ever bought.. awesome,5
Everything perfect,5
Touch and face id don't respond many times .even touch is not that responsive . Apps can hang .,2
Good,5
"Amazing phone, one of the best I had since using smartphones. Battery backup isn't that great though which needs improvement....",5
It was a awsome phone. Display quality Class.,5
"the product is under 1 year warranty ,need to change  as damaged,kindly do the needful",5
Very good product,5
awesome,5
Paisa wasool,5
Best mobile,5
I want to return this phone because it is not working please contact me,1
Nice,5
Oneplus 6 is good smartphone with a few drawbacks. Display isn't that great compared to the Oneplus 3 and battery life is mediocre,4
I like safety quality of product picture quality is best sound quality also,5
Super,5
Amazing speed amazing camera and superb feature everything is best with one plus,5
It's a great phone,5
Quality is good even after I had used this mobile for last 3 month there is no problem packaging is good and overall rating for the Mobile is 4.5/5,4
NYC look battery life is good and picture quality is too good,4
Good,5
Good phone at good price,5
Everything great about the phone,5
"The picture quality is extremely good and sound quality is super, battery life is good with 3300mah and fine, the overall performance is mind blowing",5
Superb smartphone,5
Back glass broke  after fall on carpet from coffee table just 1and 1/2 feet hieght very low quality back glass,2
I like picture quality and photos.,5
Best Mobile ever I used,5
"I am not happy with its battery life, Asus had given me better results in battery life. Picture quality is good but not as they advertise on instagram.",3
"I am loving one plus 6 mobile .. Guys go head and purchase one plus mobile... The speed , picture quality and 4k video recording is awesome ...",5
Amazing,5
All good,5
"Bought this for my friend a while back for about 35k (on offer)
Pros
Best phone for gaming, pubg runs as smooth as it can get.
Excellent for photography, low light performance is awesome.
No such thing as lag or hang
Good sound quality
Feels good in hand
Excellent 4k video .
Black colour is just awesome.
I was confused between the poco f1 and the 1 plus 6, and ended up buying one plus after lot of research.
(No regrets)
The 4k video mode is just perfect
Slow motion mode is decent.
Summary
Best phone if u are a hardcore gamer and a photography lover.",5
Best,5
"Bought it for 30k, in this price best phone",5
Best on market. Better than OnePlus 6T.,5
I forgot my DSLR,5
Best phone ever. Great picture quality and battery life. Could do better in sound.,5
Excellent in all respects ....,5
Awesome,5
This thing just happened last month. My phone fell down flat from a height of around 4 foot on floor and the display got cracked and it costed me 8K for the repair as it was a physical damage which doesn't count in the warranty. The saddest part was the tempered glass fixed on the screen was all safe but the original screen got damaged. Gorilla glass ? Really ?,5
Best mobile,5
No comment,5
I loved one plus 6.,5
The best phone I ever had...,5
look like Original Condition,5
So nice,5
"Pros::
* Performance
* Camera
* Display Quality
* Build Quality
* Charging Speed
Cons::
* Battery Draining",4
As we all knows the product is awesome,5
Best in updates android pie update was withon the month of launch.,5
Good,5
Amazing phone,5
👍🏻👍👍🏻,5
Flagship Device,5
"One of the top end mobile specs in the market for good price.
Using for last 6 months, didn't see any issues",5
Not bad,2
Amazing phone in this budget,5
I bought one plus 6. 8gb ram 256 gb storage for 39000 at one plus authorized store in Hyderabad a week ago I have bought it. But online the price is high,5
Excellent,5
"Pros
1. Exteremley fast user interface and navigation. No hanging, heating up while using multiple apps.
2. Quick updates from OnePlus. (Pie, Security patches etc)
3. Camera very good. However for night photos one might want to use Google Camera app with Nightsight. Video recording is decent as well in bright light.
4. All heavy games such as Pubg, Asphalt 9 run in high resolution.
5. Sound quality is good but struggles a bit for loudness especially if you have high impedance Earphones.
Cons:
1. No memory card slot
2. No stereo speakers
3. No IP certified for water resistance
4. Battery life is ok. Though charging is fast.
Overall its an excellent phone 4.5/5",5
Great,5
Awesome,5
good product,4
oNE IN wOrLD!~,5
Superb performance and never dissapointed. Only thing is oneplua should give time to people to get newer models. 6 and 6T withing 6 months.,5
"No complaints, superb phone to own!",5
full paisa wasool,5
I got this prodyct for arount 27k for that price is is a steal.But for few generations oneplus is charging premium and don't offer that kind of features so oneplus plz change urself othervise competetition will kill you,5
A one plus product says it all. No need for further reviews.,5
Bestest product i got ever,4
"Awesome speed, You can install whatever you want without worrying about the speed. I was expecting somewhat more with the camera, but what i got is also satisfying.",5
Good phone,4
"It's an awesome mobile. Picture quality is too good, sound is just perfect very easy to operate. No hang problem....",5
"Picture quality is bad,sound quality is very bad and battery life is good.",1
Bought this mobile. Felt like cheated. Could not hear the ring tone. If anyone calls the lights r just on and no sound. The option to increase the ring tone volume doesn't work. Did lot of things but it just doesn't work.,1
I like this fone and i recommend every one who wanna a best fone in this range go for it,5
Good product,5
Camera clarity is awesome.battery backup is good,5
Nice product,5
Picture Quality,5
Fabulous,5
Could not be more happier. I love this phone.,5
"Ordered thia for a friend. I had unpacked and dis the startup. Gr8 touch, sound quality is gr8, nice picture quality, superb resolution bright screen. Fast enough.. beautiful pictures taken from camera",5
Good performance,4
"Phone is excellent, gets charged very fast.But losses it's power quickly when playing game like pubg.",5
Good phone,4
Speaker problem pls replace this phone,1
"I AM A FAN OF ONE PLUS.I LIKE EVERYTHING ABOUT THIS PHONE.GOT AT VERY COMPETITIVE PRICE DURING GREAT INDIAN SALE OF AMAZONE.PICTURE QUALITY,SOUND QUALITY AND BATTERY LIFE IS GREAT CONSIDERING MY EXTENSIVE USE.IT IS KING AMOUNG ALL ANDROID DEVICES.",5
"It is my love... when I saw the pictures of the phone (Silk White) I instantly fell for it specially for fingerprint scanner is rose gold. Try to buy it from many days and finally it's on my hand. I don't write the specifications n all.... The lot of taarif already out there. The one thing I just want to say, I go with OP6 even OP6T is available and also with so many offers it is better than OP6T. When I pay the almost same amount though I don't get 3.5 headphones jack, the notch (I like it) nd the fingerprint scanner. Only disappointed is the price....wwwhh if I get some offers, Who get they are lucky.",5
Best budget,5
"Battery quality is much better than previous version,",5
Fake one plus device which hangs most of the time and the picture quality also sucks.,3
Superb phone,5
costly,5
Good,5
"My OnePlus 6 device is not working properly since purchasing on 19th Aug'2018, which cropped up major problem since Nov'2018.
Every call is cracked, making conversation impossible, camera flash & torch not at all working, overall horrible experience. I took the device  to authorised service center in Guwahati twice on 19.11.2018 & 24.12.2018 without any improvement. Took up the matter with customer care and on their advice booked pick up & drop repair service on 31.12.2018. But ,it was not picked up till 4th Jan'2019 & on complaint to customer care, I was asked to recreate the request on 4th Jan'2019. Even after second request on 4th Jan'2019, the set is not picked up till 12th Jan'2019, despite everyday mail & call to Oneplus customer care & repair service agency Servify.com. Its totally horrible & frustrating experince.for me, a loyal customer earlier set being Oneplus 3. Despite all these , the customer care is not entertaining my requst for replacement .
All these put up for valued intending customers for information only.",1
Bekar,1
Best phone ever...,5
Best product in price range.,4
Excellent,5
"Camera is good,battery life is decent, water resistant. Screen is large enough",5
"Good picture quality, sound quality and battery life.",5
Picture perfect,5
"Picture and sound quality are good.
Battery life is not up to mark.",5
Awesomeness all around been using this phone since 8 months now still functions without any single problem !,5
I love it,5
"Best phone I have ever bought. Worth the price, best in class features. Superb camera, screen responsiveness, sound, design are great compared to any phone at this price range.",5
Awesome phone..😊 its been 4 months.. m loving it..♥️,5
Grt phone to use,5
Just Awesome...,5
"Awesome phone with a very good camera ,sound , and 4k display but battery is still 3000 mah but has dash charger",5
Best in it's class. Performance is good,5
"Camera is best, battery is best, phone is best.",5
One Plus 6 is the best phone that I have used so far. The phone is very fast and easy to use. The battery life is very good. It lasts for one full day for my usage. The charging is also very quick. The picture quality of the camera is excellent.,5
I have problem with earpiece sound quality isn't good....other than that OnePlus 6 is a all-rounder....,5
"Awesome, battery backup no word to say......",5
"You all know with that headline, what I'm gonna talk about, so just figure out the rest of the review by yourselves 😂😂",5
Quality,5
Best one in market. Works like a charm!,5
good product,5
"Five months after purchase , I am extremely satisfied with this phone .
Battery life is still great,  still works smooth as new , dash charging is amazing .",5
Batter drains fast,5
"Omg it's like the best phone ever and it's damn fast..
Camera is too gooood",5
Worth for money,5
"Oneplus 6 awesome phone
But i received phone is minor problem
I balme to only amazon",1
It's a good product. But my dash charging is not working.,4
Best,5
Phone is amazing,5
Better than best,5
Battery life is too short,4
Yes,5
Amazing phones.. completely worth it..,5
Awesome phone. Better then iphone 6,5
I happy with this mobile. No issues untill now.,5
Better than 6t... this may be the last good phone one plus has to offer as 6t is slower than this one,5
Great and awesome,5
One of the best phone,5
"Great cam, excellent battery life, lots of RAM, crisp display. Pic quality not as good as pixel 3 but the difference is only slight. Way better priced",5
Very good phone,4
Butter smooth phone if battery will  be some long lasting then it will a power pack.,5
Nice phone,5
Good product.,5
simply superb,5
fastest and smartest phone ever used. absolute value for money rather than other brands. great user interface with zero lagging,5
Good,5
it is hanging every time.I am facing Lots of issue with it,1
Value to 💰,5
7☆,5
Overall value for money.,5
Oneplus 6 is a iphone killer... 😂🤣😂🤣😂🤣👌🤘,5
Awesome,5
"Awesome battery life, decent camera, amazing sound quality",5
Oneplus swag♥️,5
"Oneplus is best. Awesome RAM management. Never hangs, smooth OS.
Dash charging is too good.
Awesome touch sensitivity, picture quality and camera.
Go for any oneplus phone without 2nd thought.",5
"I got this phone in January 2019. I've been using it for a few days, and it's a really good phone for the price. Stock Android with a lot of customisation, OLED display, and most importantly for me, a headphone jack. Definitely worth it.
In fact, the headphone jack and the notification LED make it arguably a better phone than the OnePlus 6T",5
Became current best friend of mine.,5
good mobile,5
Fine,4
Picture quality and bokeh effect nice quality,5
Did not like it,1
Picture quality & sound quality ok.,5
The best and awsome mobile that i have ever used in my life it is so fast and the speed everyone need is in this phone never get hang and picture quality and display is just awesome,5
OnePlus 6 is the best mobile i have ever owned.....,5
OnePlus 6 is supper awesome. Pixel quality is superb. Both front and back cameras are truly amazing. It takes stunning pictures. Battery life is also good. Amoled display takes a lot of battery that's the reason you get superb pixel quality. However if you keep the theme on dark mode the battery will last a little longer. It can last upto 20-24 hrs of normal usage and 12-14 hrs of heavy usage. Audio quality is best among all the mid range premium smartphone.,5
Amazing,5
Not Satisfied,1
Best phone,5
Good,5
Good,4
I like very much,5
"good performance, excellent battery life, fast charging
Bluetooth headphones not working properly.",5
Good,5
Worth the money spent !,5
"The phone is the best. But not the Battery, disappointed. My usage is less, but my battery lasts for just 3hrs of screen display.
And if my usage is less, it might last for a day.
I had my Oneplus 2 for 3 years straight and never had a problem with anything.
Oneplus 6 - Worth it, but not worth it!",3
Cool,5
Best in this price range,5
"Nice phone charges within an hour , which has power up to 1 day",5
Super,5
Nice product,5
Awesome,5
Perfect example of success..,5
"Vary good phone
Battery life is nice
Picture quality is good
All over good phone",5
This is best....,5
perfect phone,5
What to say about OP 6 ? Just amazing .. legacy continues OP..,5
Worth for money,5
One gud product from one plus.. loved the way mob felt in hand.. nice specs..,5
I like this mobile,5
Everything about this phone is fantastic. Battery life could be much better though its enough for a day's use.,5
Nice phone,4
Best phone I have ever used... As per price... Totally worth it... IPHONE is really less preffered over this phone.,5
Very Good Phone,5
Best phone. Being using for 6 months.,5
Awesome phone,5
"Everything regarding performance, usability, feel and looks absolutely marvelous",5
Amazing,5
Worth for price. Good Sound. Camera awesome. Overall good.,5
Good but slow moshon camera not working properly,5
Happy with the phone. Good camera and very good performance.,5
nice,5
Good,5
VALUE FOR MONEY PRODUCT !!,5
Phone is overall  good. Pics are really good. Latest processor and lots of memory.,5
👌👍,5
Good,5
like,5
Best part is speed. It's literally the fastest smartphone available in India. Battery charging time require very less . But should have atleast 3700 mamp. Sound @ pictute quality awesome. No heating issue at all.,5
Stunning picture quality and takes a while to master smartphone photography. night mode is top notch and phone is butter smooth.But battery drains after each update is one thing that bothers the users.overall a good one for the price range.,4
Ok,5
"Good phone, good performance, good os, average battery life,overall a best valueed phone to all kind of customer,good brand OnePlus",4
Love the RGB led on the phone. Battery lasts a long time.,5
One of best product manufactured by oneplus,5
Amazing and one of the best phone of 2018,5
Apart from camera this is a wonderful mobile. Great display great software great hardware. Best value for money.,5
I like speed the most but sometimes it hangs too for a second.. :(( I believe it's a problem with all android devices .,5
Worth the price and very good phone ....,5
No defaults. I'm using it since 3 months. Everyday I'm getting new update and it's thrilling. Smooth display perfect picture clarity,5
Superb phone by OnePlus,5
"The battery life is really bad, apps crash often, the sound is okay. Though the camera is really good.
But that isn't the primary function of a phone.",1
"This is really a beast in performance and flagship killer phone.
Performance - I'll give 10/10 with 8GB of RAM with SD845. I'm writing this after 3 months of usage till now I didn't saw any sluggishness
Picture - 8/10 at first picture not that much great but after some days of usage I guess AI started working & picture comes at their best. Night or low light photography have lot of scope for improvements
Software - 9/10 perfect software on top of latest Android very light & useful.
Battery life - 9/10 I usually get 24 hours of juice in a single charge with all time internet access and normal usage. On heavy usage it still provide us 8-9 hours of battery life. Dash charger is perfect it only take 1.30hr to fully charge phone from 18-20% to full 100%.",5
Great phone.,4
Best phone I have ever used,5
Its a beast,5
good mobile by onplus,5
like it,5
"Pros
Camera Quality
Display clearity
Screen size
Battery
Processor
Cons
Sound Quality
Lag sometimes
Heating issue",5
"Everything is so good. I'm using a Samsung j5 6 then switch to one plus 6, I'm so impressed by its look because I have the mirror black edition. I have a only one con and that is the mobile caller peice have not enough volume because in home it's good but in outside I feel like it's not enough, every time I press the volume button up but it already have its full volume. In Samsung phone their caller peice is excellent its so loud even at outside. I am so happy with my purchase and thank you to Amazon to for a great deal. My elder brother have one plus 6 too.",4
A really well balanced phone...faster than any other in its price segment...you will be really happy to have it.,4
